Starting modules.sh
Shell: bash
Sourcing /usr/share/modules/init/bash
Finished modules.sh
Epoch: 7/50 | Batch: 40/125 | BatchLoss: 0.00014
Epoch: 7/50 | Batch: 50/125 | BatchLoss: 0.00015
Epoch: 7/50 | Batch: 60/125 | BatchLoss: 0.00015
Epoch: 7/50 | Batch: 70/125 | BatchLoss: 0.00017
Epoch: 7/50 | Batch: 80/125 | BatchLoss: 0.00013
Epoch: 7/50 | Batch: 90/125 | BatchLoss: 0.00012
Epoch: 7/50 | Batch: 100/125 | BatchLoss: 0.00013
Epoch: 7/50 | Batch: 110/125 | BatchLoss: 0.00011
Epoch: 7/50 | Batch: 120/125 | BatchLoss: 0.00009
Epoch: 7/50 | Loss: 0.00014, Accuracy: 100.00%, Precision: 1.00, Recall: 1.00, F1 score: 1.00
Epoch: 8/50 | Batch: 0/125 | BatchLoss: 0.00009
Epoch: 8/50 | Batch: 10/125 | BatchLoss: 0.00009
Epoch: 8/50 | Batch: 20/125 | BatchLoss: 0.00010
Epoch: 8/50 | Batch: 30/125 | BatchLoss: 0.00009
Epoch: 8/50 | Batch: 40/125 | BatchLoss: 0.00009
Epoch: 8/50 | Batch: 50/125 | BatchLoss: 0.00013
Epoch: 8/50 | Batch: 60/125 | BatchLoss: 0.00010
Epoch: 8/50 | Batch: 70/125 | BatchLoss: 0.00008
Epoch: 8/50 | Batch: 80/125 | BatchLoss: 0.00007
Epoch: 8/50 | Batch: 90/125 | BatchLoss: 0.00006
Epoch: 8/50 | Batch: 100/125 | BatchLoss: 0.00009
Epoch: 8/50 | Batch: 110/125 | BatchLoss: 0.00007
Epoch: 8/50 | Batch: 120/125 | BatchLoss: 0.00006
Epoch: 8/50 | Loss: 0.00008, Accuracy: 100.00%, Precision: 1.00, Recall: 1.00, F1 score: 1.00
Epoch: 9/50 | Batch: 0/125 | BatchLoss: 0.00005
Epoch: 9/50 | Batch: 10/125 | BatchLoss: 0.00005
Epoch: 9/50 | Batch: 20/125 | BatchLoss: 0.00005
